Código,Disciplina,Semestre,Trimestre,Curso,Matriz
N689,Requisitos e Modelagem de Sistemas,3,A,Análise e desenvolvimento de sistemas,Nova
N688,Ambiente de Dados,3,B,Análise e desenvolvimento de sistemas,Nova
F090,Ideação para Soluções Computacionais,3,B,Análise e desenvolvimento de sistemas,Nova
G401,Negociação Estratégica,1,A,Inteligência de Negócios,Nova
G704,Visualização de Dados para Tomada de Decisões,1,A,Inteligência de Negócios,Nova
G427,Marketing Digital,1,B,Inteligência de Negócios,Nova
G405,Inteligência de Negócios,1,B,Inteligência de Negócios,Nova
G369,Gestão Estratégica de Pessoas,2,A,Inteligência de Negócios,Nova
G408,Administração e Organizações,2,A,Inteligência de Negócios,Nova
G411,Cenários Econômicos e Empresariais,2,A,Inteligência de Negócios,Nova
G766,Tecnologia em Analítica de Negócios,2,B,Inteligência de Negócios,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Inteligência de Negócios,Nova
G413,Matemática Financeira,3,A,Inteligência de Negócios,Nova
G429,Gestão de Operações,3,A,Inteligência de Negócios,Nova
G701,Programação para Analítica de Negócios,3,A,Inteligência de Negócios,Nova
G702,Estrutura de Dados em Analítica,3,B,Inteligência de Negócios,Nova
G747,Dados e Tomada de Decisão,3,B,Inteligência de Negócios,Nova
G401,Negociação Estratégica,1,A,Gestão Comercial,Nova
G416,Custos e Formação de Preços,1,A,Gestão Comercial,Nova
G371,Supply Chain e Liderança Logística,1,B,Gestão Comercial,Nova
G452,Liderança e Gestão,1,B,Gestão Comercial,Nova
G419,Estratégia Empresarial,2,A,Gestão Comercial,Nova
G444,Omnichannel e Trade Marketing,2,A,Gestão Comercial,Nova
G449,Gestão de Vendas,2,A,Gestão Comercial,Nova
G438,Mercado e Consumidor,2,B,Gestão Comercial,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Gestão Comercial,Nova
G429,Gestão de Operações,3,A,Gestão Comercial,Nova
G413,Matemática Financeira,3,A,Gestão Comercial,Nova
G755,Tendências no Varejo,3,A,Gestão Comercial,Nova
G427,Marketing Digital,3,B,Gestão Comercial,Nova
G747,Dados e Tomada de Decisão,3,B,Gestão Comercial,Nova
G435,Gestão de Mídias Digitais,1,A,Marketing Digital,Nova
G436,Design e Processos Gráficos,1,A,Marketing Digital,Nova
G427,Marketing Digital,1,B,Marketing Digital,Nova
G405,Inteligência de Negócios,1,B,Marketing Digital,Nova
G407,Matemática para Empreendedores,2,A,Marketing Digital,Nova
G408,Administração e Organizações,2,A,Marketing Digital,Nova
G437,Branding,2,A,Marketing Digital,Nova
G438,Mercado e Consumidor,2,B,Marketing Digital,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Marketing Digital,Nova
G401,Negociação Estratégica,3,A,Marketing Digital,Nova
G441,Marketing de Conteúdo,3,A,Marketing Digital,Nova
G416,Custos e Formação de Preços,3,A,Marketing Digital,Nova
G440,Marketing Contemporâneo,3,B,Marketing Digital,Nova
G747,Dados e Tomada de Decisão,3,B,Marketing Digital,Nova
G414,Estrutura e Análise de Demonstrações Contábeis,1,A,Gestão Financeira,Nova
G404,Direito Empresarial,1,A,Gestão Financeira,Nova
G427,Marketing Digital,1,B,Gestão Financeira,Nova
G405,Inteligência de Negócios,1,B,Gestão Financeira,Nova
G407,Matemática para Empreendedores,2,A,Gestão Financeira,Nova
G408,Administração e Organizações,2,A,Gestão Financeira,Nova
G411,Cenários Econômicos e Empresariais,2,A,Gestão Financeira,Nova
G410,Contabilidade e Negócios,2,B,Gestão Financeira,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Gestão Financeira,Nova
G417,Mercado de Capitais no Contexto Global,3,A,Gestão Financeira,Nova
G413,Matemática Financeira,3,A,Gestão Financeira,Nova
G416,Custos e Formação de Preços,3,A,Gestão Financeira,Nova
G402,Controladoria e Orçamento,3,B,Gestão Financeira,Nova
G747,Dados e Tomada de Decisão,3,B,Gestão Financeira,Nova
G401,Negociação Estratégica,1,A,Ciências Contábeis,Nova
G404,Direito Empresarial,1,A,Ciências Contábeis,Nova
G427,Marketing Digital,1,B,Ciências Contábeis,Nova
G405,Inteligência de Negócios,1,B,Ciências Contábeis,Nova
G407,Matemática para Empreendedores,2,A,Ciências Contábeis,Nova
G408,Administração e Organizações,2,A,Ciências Contábeis,Nova
G411,Cenários Econômicos e Empresariais,2,A,Ciências Contábeis,Nova
G410,Contabilidade e Negócios,2,B,Ciências Contábeis,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Ciências Contábeis,Nova
G428,Contabilidade Geral Aplicada,3,A,Ciências Contábeis,Nova
G413,Matemática Financeira,3,A,Ciências Contábeis,Nova
G416,Custos e Formação de Preços,3,A,Ciências Contábeis,Nova
G370,Contabilidade Intermediária,3,B,Ciências Contábeis,Nova
G747,Dados e Tomada de Decisão,3,B,Ciências Contábeis,Nova
G401,Negociação Estratégica,1,A,Administração,Nova
G404,Direito Empresarial,1,A,Administração,Nova
G427,Marketing Digital,1,B,Administração,Nova
G405,Inteligência de Negócios,1,B,Administração,Nova
G407,Matemática para Empreendedores,2,A,Administração,Nova
G408,Administração e Organizações,2,A,Administração,Nova
G411,Cenários Econômicos e Empresariais,2,A,Administração,Nova
G410,Contabilidade e Negócios,2,B,Administração,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Administração,Nova
G429,Gestão de Operações,3,A,Administração,Nova
G413,Matemática Financeira,3,A,Administração,Nova
G416,Custos e Formação de Preços,3,A,Administração,Nova
G440,Marketing Contemporâneo,3,B,Administração,Nova
G410,Dados e Tomada de Decisão,3,B,Administração,Nova
G401,Negociação Estratégica,1,A,Logística,Nova
G429,Gestão de Operações,1,A,Logística,Nova
G371,Supply Chain e Liderança Logística,1,B,Logística,Nova
G440,Marketing Contemporâneo,1,B,Logística,Nova
G369,Gestão Estratégica de Pessoas,2,A,Logística,Nova
G448,Gestão de Projetos,2,A,Logística,Nova
G757,Gestão de Estoques e Fornecedores,2,A,Logística,Nova
G759,Legislação e Compliance em Logística,2,B,Logística,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Logística,Nova
G760,Gestão de Custos Logísticos,3,A,Logística,Nova
G761,Logística Global e Comércio Exterior,3,A,Logística,Nova
G762,Infraestrutura e Modais de Transporte,3,A,Logística,Nova
G452,Liderança e Gestão,3,B,Logística,Nova
G747,Dados e Tomada de Decisão,3,B,Logística,Nova
G401,Negociação Estratégica,1,A,Recursos Humanos,Nova
G451,Processos e Estruturas da Gestão de Pessoas,1,A,Recursos Humanos,Nova
G452,Liderança e Gestão,1,B,Recursos Humanos,Nova
G405,Inteligência de Negócios,1,B,Recursos Humanos,Nova
G369,Gestão Estratégica de Pessoas,2,A,Recursos Humanos,Nova
G408,Administração e Organizações,2,A,Recursos Humanos,Nova
G741,"Pessoas, Times e Organizações",2,A,Recursos Humanos,Nova
G408,Bem-Estar e Segurança no Trabalho,2,B,Recursos Humanos,Nova
G743,"Inovação, Empreendedorismo e Ética",2,B,Recursos Humanos,Nova
G459,Consultoria em Gestão de Pessoas,3,A,Recursos Humanos,Nova
G744,Dinâmicas de Grupo e Trabalho em Equipe,3,A,Recursos Humanos,Nova
G745,Gestão de Carreira e Desenvolvimento,3,A,Recursos Humanos,Nova
G746,Métricas de Hibridização do Trabalho,3,B,Recursos Humanos,Nova
G747,Dados e Tomada de Decisão,3,B,Recursos Humanos,Nova
